            sIP|            dIP|sPort|dPort|pro|   packets|     bytes|   flags|                  sTime| duration|                  eTime|sensor|
  163.172.7.229|  10.119.120.33|37498|   80|  6|         4|       391|        |2016/04/06T06:40:01.650|    0.192|2016/04/06T06:40:01.842|Health|
  82.80.230.228|  10.119.120.40|60159|  443|  6|        84|      4678|        |2016/04/06T06:40:10.547|    3.200|2016/04/06T06:40:13.747|Health|
  82.80.230.228|  10.119.120.40|54298|  443|  6|        96|      5433|        |2016/04/06T06:40:06.772|    9.024|2016/04/06T06:40:15.796|Health|
  163.172.7.229|  10.119.120.33|37498|   80|  6|         2|       104|        |2016/04/06T06:40:20.915|    0.128|2016/04/06T06:40:21.043|Health|
     74.82.47.3| 131.247.65.222|34811|  443|  6|        13|      1185|        |2016/04/06T06:42:14.070|    5.056|2016/04/06T06:42:19.126|Health|
  203.128.80.37|  10.119.120.33|54578|   80|  6|        49|      3976|        |2016/04/06T06:42:53.875|    3.072|2016/04/06T06:42:56.947|Health|
  203.128.80.37|  10.119.120.33|54579|   80|  6|        41|      3539|        |2016/04/06T06:42:53.874|    3.072|2016/04/06T06:42:56.946|Health|
  203.128.80.37|  10.119.120.33|54580|   80|  6|        40|      5570|        |2016/04/06T06:42:54.066|    9.664|2016/04/06T06:43:03.730|Health|
  203.128.80.37|  10.119.120.33|54581|   80|  6|         6|      1257|        |2016/04/06T06:42:54.516|    0.960|2016/04/06T06:42:55.476|Health|
  203.128.80.37|  10.119.120.33|54583|   80|  6|        10|       983|        |2016/04/06T06:42:54.516|    0.960|2016/04/06T06:42:55.476|Health|
  203.128.80.37|  10.119.120.33|54582|   80|  6|         4|       682|        |2016/04/06T06:42:54.579|    0.576|2016/04/06T06:42:55.155|Health|
  203.128.80.37|  10.119.120.33|54582|   80|  6|         1|        46|        |2016/04/06T06:43:40.784|    0.000|2016/04/06T06:43:40.784|Health|
  203.128.80.37|  10.119.120.33|54583|   80|  6|         1|        46|        |2016/04/06T06:43:41.042|    0.000|2016/04/06T06:43:41.042|Health|
  203.128.80.37|  10.119.120.33|54581|   80|  6|         1|        46|        |2016/04/06T06:43:41.041|    0.000|2016/04/06T06:43:41.041|Health|
  203.128.80.37|  10.119.120.33|54579|   80|  6|         1|        46|        |2016/04/06T06:43:42.513|    0.000|2016/04/06T06:43:42.513|Health|
  203.128.80.37|  10.119.120.33|54578|   80|  6|         1|        46|        |2016/04/06T06:43:42.574|    0.000|2016/04/06T06:43:42.574|Health|
  203.128.80.37|  10.119.120.33|54580|   80|  6|         1|        46|        |2016/04/06T06:43:49.359|    0.000|2016/04/06T06:43:49.359|Health|
  203.128.80.37|  10.119.120.33|54582|   80|  6|         1|        46|        |2016/04/06T06:44:26.477|    0.000|2016/04/06T06:44:26.477|Health|
  203.128.80.37|  10.119.120.33|54583|   80|  6|         1|        46|        |2016/04/06T06:44:26.798|    0.000|2016/04/06T06:44:26.798|Health|
  203.128.80.37|  10.119.120.33|54581|   80|  6|         1|        46|        |2016/04/06T06:44:26.798|    0.000|2016/04/06T06:44:26.798|Health|
  203.128.80.37|  10.119.120.33|54579|   80|  6|         1|        46|        |2016/04/06T06:44:28.205|    0.000|2016/04/06T06:44:28.205|Health|
  203.128.80.37|  10.119.120.33|54578|   80|  6|         1|        46|        |2016/04/06T06:44:28.269|    0.000|2016/04/06T06:44:28.269|Health|
  203.128.80.37|  10.119.120.33|54580|   80|  6|         1|        46|        |2016/04/06T06:44:35.059|    0.000|2016/04/06T06:44:35.059|Health|
     74.82.47.3| 131.247.65.222|55088|  443|  6|        13|      1220|        |2016/04/06T06:45:03.346|    4.352|2016/04/06T06:45:07.698|Health|
  94.242.221.68| 131.247.67.130| 3081|   80|  6|        12|       852|        |2016/04/06T06:45:13.136|    1.152|2016/04/06T06:45:14.288|Health|
     74.82.47.3| 131.247.65.222|36778|  443|  6|         7|       510|        |2016/04/06T06:47:18.309|    0.256|2016/04/06T06:47:18.565|Health|
  82.80.230.228|  10.119.120.40|12797|  443|  6|       106|      5996|        |2016/04/06T06:47:12.741|    8.320|2016/04/06T06:47:21.061|Health|
  104.238.192.2|  10.119.120.33|60473|  443|  6|         2|       128|        |2016/04/06T06:48:59.177|    1.024|2016/04/06T06:49:00.201|Health|
  104.238.192.2|    172.26.1.25|60476|  443|  6|        14|      3117|        |2016/04/06T06:49:00.650|    8.000|2016/04/06T06:49:08.650|Health|
  104.238.192.2|    172.26.1.25|60476|  443|  6|         3|      1391|        |2016/04/06T06:49:10.376|    1.472|2016/04/06T06:49:11.848|Health|
  163.172.7.229|  10.119.120.33|34816|   80|  6|         8|       593|        |2016/04/06T06:50:28.009|    1.280|2016/04/06T06:50:29.289|Health|
  163.172.7.229|  10.119.120.33|34873|   80|  6|         9|       645|        |2016/04/06T06:50:28.266|    0.896|2016/04/06T06:50:29.162|Health|
  104.238.192.2|    172.26.1.25|60476|  443|  6|         3|       156|        |2016/04/06T06:50:46.122|    0.192|2016/04/06T06:50:46.314|Health|
  115.79.88.171|  131.247.67.45|38842|   25|  6|         6|       383|        |2016/04/06T07:00:14.935|    1.280|2016/04/06T07:00:16.215|Health|
162.216.114.158|   131.247.59.3| 6053| 5060| 17|         2|       888|        |2016/04/06T07:00:46.117|    4.000|2016/04/06T07:00:50.117|Health|
162.216.114.158|  131.247.59.27| 6053| 5060| 17|         2|       888|        |2016/04/06T07:00:46.569|    4.004|2016/04/06T07:00:50.573|Health|
162.216.114.158|   131.247.63.5| 6053| 5060| 17|         2|       892|        |2016/04/06T07:01:06.190|    4.000|2016/04/06T07:01:10.190|Health|
162.216.114.158|  131.247.65.37| 6053| 5060| 17|         2|       884|        |2016/04/06T07:01:17.718|    4.000|2016/04/06T07:01:21.718|Health|
162.216.114.158|  131.247.65.38| 6053| 5060| 17|         2|       892|        |2016/04/06T07:01:17.742|    4.000|2016/04/06T07:01:21.742|Health|
162.216.114.158|  131.247.65.44| 6053| 5060| 17|         2|       892|        |2016/04/06T07:01:17.862|    4.000|2016/04/06T07:01:21.862|Health|
